"station";"BV";"Latitude";"Longitude";"Pression_anthro";"nb_individus";"nb_ordres";"nb_familles";"nb_sous_famille";"ng_genres";"nb_sp";"nb_regimes_trophiques";"nb_dosages_isotopie";"nb_dosages_elt_traces";"nb_dosages_Hg";"masse_mediane_poissons_Hg_g";"min_Hg";"max_Hg";"moyenne_Hg";"sd_Hg";"nb_Hg_carni_invert";"moyenne_Hg_carni_invert";"sd_Hg_carni_invert";"min_Hg_carni_invert";"max_Hg_carni_invert";"nb_Hg_omni_invert";"moyenne_Hg_omni_invert";"sd_Hg_omni_invert";"min_Hg_omni_invert";"max_Hg_omni_invert"
"Crique_Petit_Tamouri_2";"OYAPOCK";2.99686;-53.10904;NA;20;1;1;1;1;1;1;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_1";"MARONI";3.022854;-53.09445;NA;26;1;2;2;2;2;2;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_2";"MARONI";3.026498;-53.09411;NA;21;2;2;2;2;2;2;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_3";"MARONI";3.027681;-53.11347;NA;29;2;3;3;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_4";"MARONI";3.028919;-53.11382;NA;85;2;3;3;5;5;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Pied_Saut";"OYAPOCK";3.80605;-51.89595;"Piste";113;5;8;5;9;10;5;0;0;24;2.715;0.17675;1.0908;0.4831167;0.2578476;8;0.315625;0.0931174;0.1919;0.44945;1;0.17675;NA;0.17675;0.17675
"Crique_Piste_Saint_Elie";"SINNAMARY";5.25744;-53.05544;"Orpaillage_ancien";197;5;15;10;24;27;6;72;0;65;4.44;0.37875;5.2217;1.1250623;0.7717076;31;1.4000718;0.9592516;0.48985;5.2217;26;0.7447779;0.30821924;0.37875;1.5251
"Crique_Quad";"MANA";4.74515;-53.97761;"Orpaillage_ancien";150;3;11;15;21;22;7;68;0;56;5.815;0.46965;2.6159;1.054458;0.4800456;11;0.8851273;0.2288279;0.63125;1.3332;26;1.0822538;0.58603986;0.46965;2.6159
"Crique_relache_1";"SINNAMARY";5.05134;-52.96782;"Barrage";50;5;10;8;11;13;6;0;0;21;0.89;0.12625;2.98455;0.68175;0.6166999;11;0.4287909;0.1854451;0.12625;0.808;1;1.1211;NA;1.1211;1.1211
"Crique_relache_2";"SINNAMARY";5.04839;-52.97517;"Barrage";17;3;6;3;5;6;4;0;0;13;4.17;0.5858;3.434;1.3510692;0.8779103;9;1.2451056;0.8948698;0.5858;3.434;3;1.16655;0.42862572;0.91405;1.66145
"Crique_Rosette";"COMTE";4.25463;-52.57528;"Orpaillage_ancien";155;5;13;15;23;24;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Sable_1";"OYAPOCK";3.036767;-53.08119;NA;99;2;3;4;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Sable_2";"OYAPOCK";3.016997;-53.07037;NA;84;2;3;4;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Saint_Lucien";"APPROUAGUES";4.19206;-52.52858;"Orpaillage_legal";80;3;4;8;12;13;3;45;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
